Wavelength (nm),Au_n,Au_k				
300,1.53,1.89				
301,1.53,1.89				
302,1.53,1.89				
303,1.53,1.89				
304,1.53,1.89				
305,1.53,1.89				
306,1.53,1.89				
307,1.53,1.89				
308,1.53,1.89				
309,1.53,1.89				
310,1.53,1.89				
311,1.53,1.89				
312,1.53,1.89				
313,1.53,1.89				
314,1.53,1.89				
315,1.53,1.9				
316,1.54,1.9				
317,1.54,1.9				
318,1.54,1.9				
319,1.54,1.9				
320,1.54,1.9				
321,1.54,1.9				
322,1.53,1.9				
323,1.53,1.89				
324,1.52,1.89				
325,1.52,1.89				
326,1.51,1.89				
327,1.5,1.89				
328,1.5,1.89				
329,1.49,1.89				
330,1.49,1.89				
331,1.48,1.88				
332,1.48,1.88				
333,1.48,1.88				
334,1.48,1.88				
335,1.48,1.88				
336,1.48,1.88				
337,1.48,1.88				
338,1.48,1.88				
339,1.48,1.87				
340,1.48,1.87				
341,1.48,1.87				
342,1.48,1.87				
343,1.48,1.87				
344,1.48,1.87				
345,1.48,1.87				
346,1.49,1.87				
347,1.49,1.87				
348,1.49,1.87				
349,1.49,1.87				
350,1.49,1.87				
351,1.49,1.87				
352,1.5,1.87				
353,1.5,1.87				
354,1.5,1.87				
355,1.5,1.87				
356,1.5,1.87				
357,1.5,1.87				
358,1.49,1.87				
359,1.49,1.88				
360,1.49,1.88				
361,1.49,1.88				
362,1.49,1.88				
363,1.49,1.88				
364,1.49,1.89				
365,1.48,1.89				
366,1.48,1.89				
367,1.48,1.89				
368,1.48,1.9				
369,1.48,1.9				
370,1.48,1.9				
371,1.48,1.9				
372,1.47,1.91				
373,1.47,1.91				
374,1.47,1.91				
375,1.47,1.91				
376,1.47,1.92				
377,1.47,1.92				
378,1.47,1.92				
379,1.46,1.93				
380,1.46,1.93				
381,1.46,1.93				
382,1.46,1.93				
383,1.46,1.93				
384,1.46,1.94				
385,1.46,1.94				
386,1.46,1.94				
387,1.46,1.94				
388,1.46,1.94				
389,1.46,1.94				
390,1.47,1.94				
391,1.47,1.94				
392,1.47,1.95				
393,1.47,1.95				
394,1.47,1.95				
395,1.47,1.95				
396,1.47,1.95				
397,1.47,1.95				
398,1.47,1.95				
399,1.47,1.95				
400,1.47,1.95				
401,1.47,1.95				
402,1.47,1.95				
403,1.47,1.95				
404,1.47,1.95				
405,1.47,1.95				
406,1.46,1.96				
407,1.46,1.96				
408,1.46,1.96				
409,1.46,1.96				
410,1.46,1.96				
411,1.46,1.96				
412,1.46,1.96				
413,1.46,1.96				
414,1.46,1.96				
415,1.46,1.96				
416,1.46,1.96				
