Wavelength (nm),PTB7_PCBM_n,PTB7_PCBM_k
564,1.9174,0.34204
565,1.91895,0.34208
566,1.9205,0.34203
567,1.92204,0.34192
568,1.92356,0.34175
569,1.92506,0.34154
570,1.92653,0.3413
571,1.92797,0.34105
572,1.92937,0.3408
573,1.93071,0.34055
574,1.932,0.34034
575,1.93323,0.34016
576,1.9344,0.34003
577,1.93549,0.33993
578,1.93651,0.33986
579,1.93748,0.33984
580,1.93839,0.33984
581,1.93926,0.33988
582,1.94009,0.33995
583,1.9409,0.34006
584,1.94168,0.34019
585,1.94245,0.34035
586,1.94321,0.34054
587,1.94398,0.34075
588,1.94475,0.34099
589,1.94554,0.34125
590,1.94636,0.34153
591,1.94721,0.34183
592,1.9481,0.34216
593,1.94903,0.3425
594,1.95002,0.34286
595,1.95108,0.34323
596,1.9522,0.34362
597,1.9534,0.34403
598,1.95469,0.34444
599,1.95606,0.34487
600,1.95753,0.34531
601,1.95908,0.34575
602,1.96071,0.3462
603,1.96241,0.34666
604,1.96419,0.34713
605,1.96602,0.3476
606,1.96792,0.34807
607,1.96988,0.34854
608,1.97189,0.34901
609,1.97394,0.34948
610,1.97604,0.34995
611,1.97817,0.35042
612,1.98034,0.35088
613,1.98254,0.35133
614,1.98476,0.35178
615,1.98699,0.35222
616,1.98925,0.35265
617,1.99151,0.35307
618,1.99378,0.35348
619,1.99606,0.35387
620,1.99832,0.35425
621,2.00058,0.35461
622,2.00283,0.35496
623,2.00507,0.35529
624,2.00729,0.35559
625,2.0095,0.35584
626,2.01169,0.35602
627,2.01386,0.3561
628,2.01601,0.35607
629,2.01813,0.35591
630,2.02023,0.35558
631,2.0223,0.35508
632,2.02434,0.35437
633,2.02635,0.35343
634,2.02833,0.35226
635,2.03027,0.35085
636,2.03217,0.34927
637,2.03403,0.34758
638,2.03586,0.34584
639,2.03763,0.34412
640,2.03937,0.34246
641,2.04105,0.34094
642,2.04269,0.33961
643,2.04428,0.33847
644,2.04581,0.33752
645,2.04729,0.33675
646,2.04871,0.33614
647,2.05007,0.3357
648,2.05137,0.3354
649,2.05261,0.33525
650,2.05378,0.33524
651,2.05489,0.33535
652,2.05597,0.33557
653,2.05705,0.33591
654,2.05816,0.33635
655,2.05934,0.33688
656,2.06062,0.3375
657,2.06203,0.33819
658,2.06361,0.33894
659,2.0654,0.33976
660,2.06741,0.34062
661,2.0697,0.34153
662,2.07229,0.34247
663,2.07521,0.34343
664,2.07849,0.34441
665,2.08211,0.34539
666,2.08605,0.34638
667,2.09029,0.34735
668,2.09479,0.34831
669,2.09954,0.34924
670,2.1045,0.35013
671,2.10965,0.35097
672,2.11497,0.35172
673,2.12043,0.35233
674,2.126,0.35277
675,2.13167,0.35298
676,2.1374,0.35294
677,2.14318,0.35258
678,2.14896,0.35189
679,2.15474,0.3508
680,2.16048,0.34928
681,2.16618,0.34729
682,2.17183,0.34479
683,2.17742,0.34172
684,2.18293,0.3381
685,2.18837,0.33401
686,2.19372,0.32958
687,2.19897,0.32492
688,2.20412,0.32015
689,2.20915,0.31527
690,2.21407,0.31025
691,2.21884,0.30508
692,2.22347,0.29973
693,2.22793,0.29417
694,2.23222,0.2884
695,2.23631,0.28238
696,2.2402,0.27609
697,2.24387,0.26951
698,2.2473,0.26262
699,2.25049,0.25544
700,2.25341,0.24798
701,2.25606,0.2403
702,2.25842,0.23243
703,2.26047,0.2244
704,2.26221,0.21626
705,2.26361,0.20803
706,2.26467,0.19975
707,2.26537,0.19147
708,2.26569,0.18321
709,2.26563,0.17501
710,2.26516,0.16692
711,2.26428,0.15896
712,2.26297,0.15117
713,2.26122,0.1436
714,2.25908,0.13626
715,2.2566,0.12921
716,2.25383,0.12248
717,2.25082,0.11609
718,2.24761,0.11002
719,2.24427,0.10426
720,2.24085,0.0988
721,2.23738,0.09363
722,2.23393,0.08874
723,2.23048,0.0841
724,2.22706,0.07971
725,2.22365,0.07555
726,2.22025,0.07162
727,2.21687,0.06789
728,2.21351,0.06435
729,2.21017,0.06099
