Wavelength (nm),NiOx_n,NiOx_k
564,1.96993,0.06334
565,1.96954,0.06279
566,1.96914,0.06224
567,1.96875,0.06169
568,1.96839,0.06114
569,1.96806,0.0606
570,1.96772,0.06013
571,1.96738,0.05973
572,1.96705,0.05933
573,1.96671,0.05893
574,1.96637,0.05852
575,1.96604,0.05812
576,1.9657,0.05772
577,1.96536,0.05732
578,1.96503,0.05692
579,1.96469,0.05652
580,1.96436,0.05623
581,1.96402,0.05597
582,1.96369,0.0557
583,1.96335,0.05544
584,1.96302,0.05518
585,1.96268,0.05492
586,1.96235,0.05466
587,1.96201,0.0544
588,1.9617,0.05414
589,1.96138,0.05388
590,1.96107,0.05362
591,1.96075,0.05335
592,1.96044,0.05309
593,1.96012,0.05283
594,1.95981,0.05256
595,1.9595,0.0523
596,1.95918,0.05203
597,1.95887,0.05177
598,1.95856,0.0515
599,1.95827,0.05124
600,1.95798,0.05094
601,1.95769,0.05065
602,1.95741,0.05035
603,1.95712,0.05005
604,1.95683,0.04975
605,1.95654,0.04945
606,1.95625,0.04915
607,1.95596,0.04885
608,1.95567,0.04855
609,1.95542,0.04825
610,1.95517,0.04804
611,1.95492,0.04782
612,1.95467,0.04761
613,1.95442,0.0474
614,1.95417,0.04718
615,1.95392,0.04697
616,1.95366,0.04676
617,1.95341,0.04654
618,1.95316,0.04602
619,1.95293,0.04543
620,1.95269,0.04484
621,1.95245,0.04437
622,1.95221,0.0442
623,1.95197,0.04404
624,1.95173,0.04387
625,1.95149,0.0437
626,1.95126,0.04353
627,1.95102,0.04336
628,1.95078,0.04319
629,1.95055,0.04305
630,1.95032,0.04301
631,1.95009,0.04297
632,1.94986,0.04293
633,1.94963,0.04289
634,1.94941,0.04285
635,1.94918,0.04281
636,1.94895,0.04277
637,1.94872,0.04269
638,1.94849,0.04257
639,1.9482,0.04246
640,1.94792,0.04234
641,1.94763,0.04223
642,1.94735,0.04211
643,1.94706,0.042
644,1.94677,0.04188
645,1.94649,0.04177
646,1.9462,0.04162
647,1.94592,0.04147
648,1.94563,0.04132
649,1.94543,0.04117
650,1.94524,0.04102
651,1.94504,0.04087
652,1.94485,0.04073
653,1.94466,0.04058
654,1.94447,0.04043
655,1.94427,0.04029
656,1.94408,0.04014
657,1.94389,0.04
658,1.9437,0.03985
659,1.94349,0.03971
660,1.94328,0.03957
661,1.94307,0.03942
662,1.94286,0.03931
663,1.94265,0.0392
664,1.94244,0.0391
665,1.94223,0.03899
666,1.94202,0.03889
667,1.94181,0.03879
668,1.9416,0.03868
669,1.94134,0.03858
670,1.94108,0.03847
671,1.94082,0.03837
672,1.94056,0.03826
673,1.9403,0.03815
674,1.94004,0.03804
675,1.93978,0.03793
676,1.93952,0.03782
677,1.93926,0.03771
678,1.93901,0.0376
679,1.93878,0.03757
680,1.93854,0.03761
681,1.93831,0.03764
682,1.93808,0.03767
683,1.93785,0.0377
684,1.93761,0.03773
685,1.93738,0.03777
686,1.93715,0.0378
687,1.93692,0.03771
688,1.9367,0.03761
689,1.93655,0.03752
690,1.9364,0.03743
691,1.93625,0.03733
692,1.9361,0.03724
693,1.93594,0.03715
694,1.93579,0.03705
695,1.93564,0.03696
696,1.93549,0.03686
697,1.93534,0.03675
698,1.93517,0.03665
699,1.935,0.03654
700,1.93483,0.03644
701,1.93466,0.03633
702,1.93448,0.03623
703,1.93431,0.03613
704,1.93414,0.03605
705,1.93397,0.03598
706,1.9338,0.03591
707,1.93363,0.03583
708,1.9334,0.03576
709,1.93318,0.03568
710,1.93295,0.03561
711,1.93272,0.03556
712,1.93249,0.03559
713,1.93226,0.03562
714,1.93203,0.03566
715,1.9318,0.03569
716,1.93157,0.03572
717,1.93134,0.03576
718,1.93111,0.03579
719,1.93095,0.03582
720,1.93079,0.03578
721,1.93063,0.03567
722,1.93047,0.03556
723,1.93031,0.03544
724,1.93015,0.03533
725,1.92998,0.03522
726,1.92982,0.03511
727,1.92966,0.03499
728,1.9295,0.03488
729,1.92935,0.03475
730,1.9292,0.03463
731,1.92905,0.03451
732,1.9289,0.03438
733,1.92876,0.03426
734,1.92861,0.03413
735,1.92846,0.03401
736,1.92831,0.03389
737,1.92816,0.03377
738,1.92801,0.03366
739,1.92786,0.03356
740,1.92772,0.03345
741,1.92757,0.03335
742,1.92742,0.03324
743,1.92728,0.03313
744,1.92713,0.03303
745,1.92699,0.03295
746,1.92684,0.03289
747,1.92669,0.03283
748,1.92654,0.03278
749,1.92634,0.03272
750,1.92614,0.03266
751,1.92594,0.0326
752,1.92575,0.03263
753,1.92555,0.03267
754,1.92535,0.0327
755,1.92515,0.03274
756,1.92495,0.03278
757,1.92475,0.03282
758,1.92455,0.03286
759,1.92437,0.0329
760,1.92421,0.03291
761,1.92405,0.03278
762,1.9239,0.03266
763,1.92374,0.03253
764,1.92358,0.03241
765,1.92342,0.03228
766,1.92326,0.03216
767,1.92311,0.03203
768,1.92295,0.0319
769,1.92286,0.03178
770,1.92278,0.03173
771,1.9227,0.03172
772,1.92262,0.03171
773,1.92255,0.0317
774,1.92247,0.03169
775,1.92239,0.03169
776,1.92231,0.03168
