Wavelength (nm),MAPbI3_GQ_n,MAPbI3_GQ_k
617,2.55,0.28
618,2.55,0.28
619,2.55,0.27
620,2.55,0.27
621,2.55,0.27
622,2.55,0.27
623,2.55,0.27
624,2.55,0.27
625,2.54,0.26
626,2.54,0.26
627,2.54,0.26
628,2.54,0.26
629,2.54,0.26
630,2.54,0.26
631,2.54,0.25
632,2.54,0.25
633,2.54,0.25
634,2.54,0.25
635,2.54,0.25
636,2.54,0.25
637,2.54,0.24
638,2.54,0.24
639,2.54,0.24
640,2.54,0.24
641,2.54,0.24
642,2.54,0.24
643,2.53,0.24
644,2.53,0.23
645,2.53,0.23
646,2.53,0.23
647,2.53,0.23
648,2.53,0.23
649,2.53,0.23
650,2.53,0.23
651,2.53,0.22
652,2.53,0.22
653,2.53,0.22
654,2.53,0.22
655,2.52,0.22
656,2.52,0.22
657,2.52,0.22
658,2.52,0.22
659,2.52,0.21
660,2.52,0.21
661,2.52,0.21
662,2.52,0.21
663,2.52,0.21
664,2.52,0.21
665,2.52,0.21
666,2.52,0.21
667,2.52,0.21
668,2.51,0.21
669,2.51,0.2
670,2.51,0.2
671,2.51,0.2
672,2.51,0.2
673,2.51,0.2
674,2.51,0.2
675,2.51,0.2
676,2.51,0.2
677,2.51,0.2
678,2.51,0.2
679,2.51,0.2
680,2.5,0.2
681,2.5,0.2
682,2.5,0.2
683,2.5,0.2
684,2.5,0.19
685,2.5,0.19
686,2.5,0.19
687,2.5,0.19
688,2.5,0.19
689,2.5,0.19
690,2.5,0.19
691,2.5,0.19
692,2.5,0.19
693,2.5,0.19
694,2.5,0.19
695,2.5,0.19
696,2.5,0.19
697,2.5,0.19
698,2.5,0.19
699,2.5,0.19
700,2.5,0.19
701,2.5,0.19
702,2.5,0.19
703,2.5,0.19
704,2.5,0.19
705,2.5,0.19
706,2.5,0.19
707,2.5,0.19
708,2.5,0.19
709,2.5,0.19
710,2.5,0.19
711,2.5,0.19
712,2.5,0.19
713,2.5,0.19
